attrictions,type,reviews,html
Hort Park,Parks,120,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2344355-Reviews-Hort_Park-Singapore.html
Jurong East Swimming Complex,Water Parks,120,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2258396-Reviews-Jurong_East_Swimming_Complex-Singapore.html
Jurong Point Shopping Mall,Shopping Malls,119,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d6981762-Reviews-Jurong_Point_Shopping_Mall-Singapore.html
Indian Heritage Centre,Art Museums,114,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8072555-Reviews-Indian_Heritage_Centre-Singapore.html
Tangs Plaza,Department Stores,107,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8574463-Reviews-Tangs_Plaza-Singapore.html
NUS Baba House,Architectural Buildings,105,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1857193-Reviews-NUS_Baba_House-Singapore.html
St John's Island,Nature & Wildlife Areas,103,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2344433-Reviews-St_John_s_Island-Singapore.html
Kusu Island,Islands,101,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317438-Reviews-Kusu_Island-Singapore.html
Kong Meng San Phor Kark See Temple,Sacred & Religious Sites,99,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d386876-Reviews-Kong_Meng_San_Phor_Kark_See_Temple-Singapore.html
Geylang Serai New Market,Flea & Street Markets,99,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317432-Reviews-Geylang_Serai_New_Market-Singapore.html
Joo Chiat/Katong,Neighbourhoods,95,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2344138-Reviews-Joo_Chiat_Katong-Singapore.html
Faber Peak,Tramways,93,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d7221059-Reviews-Faber_Peak-Singapore.html
Victoria Theatre & Victoria Concert Hall,Theatres,91,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d446443-Reviews-Victoria_Theatre_Victoria_Concert_Hall-Singapore.html
Chinese New Year (China Town),Cultural Events,84,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8820414-Reviews-Chinese_New_Year_China_Town-Singapore.html
Pagoda Street,Points of Interest & Landmarks,84,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8399607-Reviews-Pagoda_Street-Singapore.html
Jacob Ballas Children's Garden,Gardens,84,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d4355521-Reviews-Jacob_Ballas_Children_s_Garden-Singapore.html
Tanjong Pagar,Neighbourhoods,77,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d3915753-Reviews-Tanjong_Pagar-Singapore.html
Coney Island Park,Nature & Wildlife Areas,71,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8720312-Reviews-Coney_Island_Park-Singapore.html
Bishan Ang Mo Kio Park,Parks,69,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d4578243-Reviews-Bishan_Ang_Mo_Kio_Park-Singapore.html
Bukit Batok Nature Park,Parks,69,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d591455-Reviews-Bukit_Batok_Nature_Park-Singapore.html
Kallang Wave Mall,Department Stores,68,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8452085-Reviews-Kallang_Wave_Mall-Singapore.html
Telok Ayer Street,Points of Interest & Landmarks,66,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324751-Reviews-Telok_Ayer_Street-Singapore.html
Library @ Orchard,Libraries,64,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d7254973-Reviews-Library_Orchard-Singapore.html
Air Force Museum,Military Museums,60,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d562179-Reviews-Air_Force_Museum-Singapore.html
Cathedral of the Good Shepherd,Churches & Cathedrals,58,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d379341-Reviews-Cathedral_of_the_Good_Shepherd-Singapore.html
Far East Organization Children's Garden,Playgrounds,52,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d10040709-Reviews-Far_East_Organization_Children_s_Garden-Singapore.html
i Light Marina Bay,Cultural Events,48,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d10020483-Reviews-I_Light_Marina_Bay-Singapore.html
Changi Point Boardwalk,Piers & Boardwalks,42,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8010699-Reviews-Changi_Point_Boardwalk-Singapore.html
Lian Shan Shuang Lin Temple,Sacred & Religious Sites,34,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d446424-Reviews-Lian_Shan_Shuang_Lin_Temple-Singapore.html
Admiralty Park,Parks,34,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d7396418-Reviews-Admiralty_Park-Singapore.html
Lazarus Island,Beaches,24,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d12105952-Reviews-Lazarus_Island-Singapore.html
